aback,wstecz
amiable,sympatyczny
amicable,przyjazny
amidst,wśród
amid,wśród
amino,aminową
amiss,źle
ammonia,amoniak
ammunition,amunicja
amnesia,amnezja
amnesty,amnestia
among,pośród
amorphous,amorficzny
amount,ilość
amp,amper / wzmacniacz
amphetamine,amfetamina
amphibian,płaz
amphitheatre,amfiteatr
ample,obszerny
amplify,wzmacniać
amplitude,amplituda
amputate,odciąć
amuse,bawić
anaemia,niedokrwistość
anaerobic,beztlenowa
anal,analny
analogous,analogiczny
analogue,analog
analogy,analogia
analyse,analizować
analyst,analityk
analytic,analityczny
anarchy,anarchia
anathema,anatema
anatomy,anatomia
ancestor,przodek
ancestry,pochodzenie
anchor,kotwica
ancient,starożytny
ancillary,pomocniczy
and,i
android,android
anecdote,anegdota
anemone,anemon
anew,nowo
angel,anioł
anger,gniew
angle,kąt
angler,wędkarz
angry,zły
angst,niepokój
anguish,boleść
angular,kątowy
animal,zwierzę
animate,animować
animosity,animozja
ankle,kostka
annals,annały
annex,załącznik
annihilate,zniszczyć
anniversary,rocznica
annotate,komentować
announce,ogłosić
annoy,denerwować
annual,roczny
annuity,renta
annul,unieważnić
anoint,namaszczać
anomaly,anomalia
anonymity,anonimowość
anonymous,anonimowy
anorexia,anoreksja
another,inne
answer,odpowiedź
antagonise,antagoniści
antagonism,antagonizm
antagonist,antagonista
antecedent,poprzednik
antelope,antylopa
antenna,antena
ante,przed- / stawka w grze
anterior,poprzedni
anthem,hymn
anthology,antologia
anthropology,antropologia
antibiotic,antybiotyk
antibody,przeciwciało
anticipate,przewidywać
antic,wybryk
antidote,antidotum
antigen,antygen
antipathy,niechęć
antiquarian,starożytnik
antiquated,przestarzały
antique,antyczny
antiquity,antyk
antiseptic,antyseptyczny
antler,łopata
ant,mrówka
anxiety,niepokój
anxious,niespokojny
any,każdy
apartheid,apartheid
apartment,apartament
apart,niezależnie
apathy,apatia
ape,małpa
aperture,otwór
apex,wierzchołek
aphid,mszyca
apiece,kawałek
apocalypse,apokalipsa
apologetic,przepraszający
apology,przeprosiny
apostle,apostoł
appal,przerazić
apparatus,aparat
apparel,strój
apparent,pozorny
apparition,zjawa
appeal,apel
appear,zjawić się
appease,zaspokoić
appellate,apelacyjny
append,dodać
appendix,dodatek
appetite,apetyt
applaud,oklaskiwać
applause,oklaski
apple,jabłko
appliance,urządzenie
applicable,odpowiedni
applicant,petent
apply,zastosować
appoint,wyznaczać
apportion,podzielić
appraise,oceniać
appreciable,znaczny
appreciate,doceniać
apprehend,zrozumieć
apprehensive,lękliwy
apprentice,uczeń
approach,podejście
appropriable,na wyła˛cznosc
appropriated,przywłaszczył
appropriate,właściwy
approve,zatwierdzać
approximate,przybliżony
apricot,morela
april,kwiecień
apron,fartuch
aptitude,uzdolnienie
apt,trafny
aquarium,akwarium
aquatic,wodny
aquifer,warstwa wodonośna
arable,orny
arbiter,arbiter
arbitrage,arbitraż
arbitrary,arbitralny
arbitrate,rozstrzygać
arcade,arkada
arcane,tajemna
archaeology,archeologia
archaic,archaiczny
archer,łucznik
archetype,archetyp
archipelago,archipelag
architect,architekt
architecture,architektura
archive,archiwum
arch,łuk
arc,łuk
arctic,arktyczny
ardent,żarliwy
arduous,żmudny
area,powierzchnia
arena,arena
argue,kłócić się
aria,aria
arid,jałowy
arise,powstać
aristocracy,arystokracja
aristocrat,arystokrata
arithmetic,arytmetyka
ark,arka
armament,uzbrojenie
armchair,fotel
armed,uzbrojony
armoury,zbrojownia
armour,zbroja
armpit,pacha
arm,ramię
army,armia
aroma,aromat
aromatherapy,aromaterapia
aromatic,aromatyczny
around,na około
arouse,wzbudzać
arrange,zorganizować
array,szyk
arrears,zaległości
arrest,aresztować
arrive,przybyć
arrogant,arogancki
arrow,strzałka
arsenal,Arsenał
arsenic,arsen
arson,podpalenie
artery,tętnica
artful,pomysłowy
arthritis,artretyzm
artichoke,karczoch
article,artykuł
articulate,artykułować
artifact,artefakt
artifice,sztuczka
artificial,sztuczny
artillery,artyleria
artisan,rzemieślnik
art,sztuka
asbestos,azbest
ascend,wspiąć się
ascent,wzniesienie się
ascertain,ustalać
ascetic,ascetyczny
ascribe,przypisać
ashamed,zawstydzony
ashore,na brzeg
ash,popiół
aside,na bok
ask,zapytać
asleep,we śnie
asparagus,szparag
aspect,aspekt
asphalt,asfalt
aspire,aspirować
aspirin,aspiryna
assail,atakować
assassin,morderca
assault,atak
assay,analiza
assemble,gromadzić
assembly,montaż
assent,zgoda
assert,zapewniać
assess,oszacować
asset,kapitał
assiduous,wytrwały
assign,przydzielać
assimilate,wchłonąć
assist,wspierać
associate,współpracownik
assorted,mieszany
ass,tyłek
assuage,łagodzić
assume,założyć
assumption,założenie
assure,gwarantować
as,tak jak
asteroid,asteroida
asthma,astma
astonish,zadziwić
astound,zdumieć
astray,zabłąkany
astride,okrakiem
astrology,astrologia
astronaut,astronauta
astronomical,astronomiczny
astronomy,astronomia
astrophysics,astrofizyka
astute,bystry
asylum,przytułek
asymmetry,asymetria
atheist,ateista
athlete,sportowiec
atlas,atlas
atmosphere,atmosfera
atom,atom
atone,odpokutować
atop,na szczycie
atrium,atrium
atrocity,okrucieństwo
atrophy,zanik
attach,dołączać
attack,atak
attain,osiągać
attempt,próba
attend,uczęszczać
attention,uwaga
attentive,uważny
attenuate,osłabiać
attest,zaświadczać
attic,poddasze
attire,strój
attitude,nastawienie
attorney,adwokat
attract,pociągać
attribute,atrybut
attrition,ścieranie
attune,dobrać
at,w
atypical,nietypowy
auburn,kasztanowy
auction,aukcja
audacious,zuchwały
audacity,śmiałość
audible,słyszalny
audience,publiczność
audio,audio
audiovisual,audiowizualny
audition,przesłuchanie
auditorium,audytorium
audit,rewizja
augment,zwiększać
august,sierpień
aunt,ciocia
aura,aura nastrój
aural,słuchowy
auspices,auspicje
auspicious,pomyślny
austere,surowy
authentic,autentyczny
author,autor
authorise,autoryzować
authoritarian,autorytatywny
authoritative,autorytatywny
authority,autorytet
autistic,autystyczny
autobiography,autobiografia
autocrat,autokrata
autograph,autograf
autoimmune,autoimmunologiczna
automate,automat
automatic,automatyczny
automobile,samochód
automotive,automobilowy
autonomous,autonomiczny
autonomy,autonomia
autopsy,Sekcja zwłok
autumn,jesień
auxiliary,pomocniczy
available,dostępny
avail,wykorzystać
avalanche,lawina
avenge,pomścić
avenue,aleja
average,średni
averse,niechętny
avert,zapobiec
aviation,lotnictwo
avid,zachłanny
avocado,awokado
avoid,uniknąć
avow,wyznać
await,czekać na
awake,obudzić
award,nagroda
aware,świadomy
awash,zalany
away,z dala
awe,groza
awesome,niesamowite
awful,straszny
awhile,chwila
awkward,niezręczny
awning,markiza
awry,krzywo
axe,topór
axial,osiowy
axiom,aksjomat
axis,oś
axle,oś
ayatollah,ajatollah
aye,zawsze
babble,bełkot
babe,dziecko
baboon,pawian
baby,niemowlę
bachelor,kawaler
backfire,spalić na panewce
background,tło
backlog,zaległości w pracy
backwater,łacha
back,z powrotem
bacon,boczek
bacterium,bakteria
badge,odznaka
badger,borsuk
badminton,badminton
bad,zły
baffle,przegroda
baggy,workowaty
bag,torba
bailiff,komornik
bail,kaucja
bait,przynęta
bake,piec
balance,saldo
balcony,balkon
bald,łysy
bale,bela
balk,miedza
ballad,ballada
ballast,balast
ballerina,balerina
ballet,balet
ballistic,balistyczny
balloon,balon
ballot,balotować
ball,piłka
balm,balsam
bamboo,bambus
banal,banalny
banana,banan
bandage,bandaż
bandit,bandyta
bandwagon,wóz dla orkiestry
band,zespół muzyczny
bang,huk
banish,wygnać
banister,poręcz
bank,bank
bankrupt,upadły
banner,transparent
banquet,bankiet
banter,drażnić
ban,zakaz
baptise,ochrzcić
baptism,chrzest
baptist,baptysta
bar,bar
barbarian,barbarzyńca
barbaric,barbarzyński
barbarism,barbaryzm
barbecue,grill
barber,fryzjer
barb,kolec
bard,bard
bare,odsłonić
bargain,okazja
barge,barka
baritone,baryton
bark,szczekać
barley,jęczmień
barn,stodoła
barometer,barometr
baron,baron
baroque,barokowy
barracks,koszary
barrage,zapora
barrel,beczka
barren,jałowy
barricade,barykada
barrier,bariera
barrio,barrio
barrister,adwokat
barrow,kurhan
barter,frymarczenie
basal,podstawowy
basalt,bazalt
baseball,baseball
base,baza
basement,piwnica
bash,grzmotnąć
basic,podstawowy
basil,bazylia
basilica,bazylika
basin,basen
basis,podstawa
basketball,koszykówka
basket,kosz
bask,wygrzać się
basque,baskijski
bass,gitara basowa
bastard,drań
bastion,bastion
batch,partia
bathe,kąpać się
bath,kąpiel
bat,nietoperz
baton,pałeczka
battalion,batalion
batten,listwa
battered,poobijany
battery,bateria
battle,bitwa
bawl,wywrzaskiwać
bayonet,bagnet
bay,zatoka
bazaar,bazar
beach,plaża
beacon,latarnia morska
bead,koralik
beak,dziób
beam,belka
bean,fasola
beard,zarost
bear,niedźwiedź
beast,bestia
beat,bić
beau,amant
beauty,piękno
beaver,bóbr
be,być
because,dlatego
beckon,kiwać
become,stają się
bed,łóżko
bedrock,skała macierzysta
beech,buk
beef,wołowina
beep,brzęczyk
bee,pszczoła
beer,piwo
beet,buraczany
beetle,chrząszcz
befall,zdarzać się
befit,być w formie
beforehand,uprzednio
before,przed
befriend,zaprzyjaźnić się z
beg,błagać
beget,zrodzić
begin,zaczynać
beguile,oszukać
behalf,imieniu
behave,zachowywać się
behaviour,zachowanie
behead,ściąć głowę
behind,za
behold,ujrzeć
beige,beżowy
belated,spóźniony
belch,ziać
beleaguer,oblec
belief,wiara
believe,uwierzyć
belie,zadać kłam
belittle,bagatelizować
bell,dzwon
belligerent,wojujący
bellow,poniżej
belly,brzuszek
belong,należeć
beloved,ukochany
below,poniżej
belt,pas
bemoan,opłakiwać
bemuse,ogłupiać
bench,ławka
benchmark,reper
bend,zakręt
beneath,pod
benefactor,dobroczyńca
beneficial,korzystny
beneficiary,beneficjant
benefit,zasiłek
benevolent,życzliwy
benign,łagodny
bequeath,zapisać
bequest,zapis
bereave,pozbawiać kogoś czegoś
bereft,pozbawiony
beret,beret
berry,jagoda
berth,kuszetka
beset,oblężony
beside,oprócz
besiege,zasypać
best,najlepszy
bestow,obdarzyć
beta,beta
betray,zdradzać
better,lepszy
between,pomiędzy
bet,zakład
beverage,napój
beware,strzec się
bewilder,dezorientować
bewitch,czarować
beyond,poza
bias,stronniczość
bible,biblia
bibliography,bibliografia
bicep,biceps
bicker,sprzeczać się
bicycle,rower
bid,oferta
biennial,dwuletni
big,duży
bigot,bigot
bike,rower
bikini,bikini
bilateral,dwustronny
bile,żółć
bilingual,dwujęzyczny
billionaire,miliarder
billion,miliard
billow,bałwan
bill,rachunek
binary,dwójkowy
bind,wiązać
binge,birbantka
bingo,bingo
bin,kosz
binoculars,lornetka
biochemical,Biochemiczne
biochemistry,biochemia
biodiversity,bioróżnorodność
biographer,biograf
biography,biografia
biological,biologiczny
biology,biologia
biomass,biomasa
biomedical,biomedycznych
biopsy,biopsja
biotechnology,biotechnologia
birch,brzozowy
bird,ptak
birth,narodziny
biscuit,herbatnik
bisexual,biseksualny
bishop,biskup
bison,bizon
bistro,bistro
bite,gryźć
bit,kawałek
bitter,gorzki
bizarre,dziwaczny
black,czarny
blackmail,szantaż
blacksmith,kowal
bladder,pęcherz
blade,nóż
blah,bla
blame,winić
blanch,sparzyć
bland,mdłe
blanket,koc
blank,pusty
blare,grzmieć
blaspheme,bluźnić
blast,podmuch
blatant,krzykliwy
blaze,płomień
blazer,marynarka
bleach,wybielacz
bleak,posępny
bleed,krwawić
bleep,bleep
blemish,skaza
blend,mieszanka
bless,błogosławić
blight,zwarzyć
blindfold,po omacku
blind,ślepy
blink,migać
blip,punkcik na ekranie
bliss,błogość
blister,pęcherz
blithe,świąteczny
blitz,ciężkie bombardowanie
blizzard,burza śnieżna
bloat,nadąć
blob,kropelka
bloc,blok
blockade,blokada
block,blok
blockbuster,przebój
bloke,facet
blonde,blond
blood,krew
bloom,kwiat
blossom,kwitnąć
blotch,krosta
blot,plama
blouse,bluza
blow,cios
blue,niebieski
blueprint,projekt
bluff,urwisko
blunder,pomyłka
blunt,tępy
blur,plama
blurt,wypaplać
blush,rumieniec
bluster,wygrażać
boarder,pensjonariusz
board,tablica
boar,dzik
boast,przechwałki
boat,łódź
bobbed,bobbed
bode,wróżyć
bodice,gorset
body,ciało
bog,bagno
bogey,straszydło
bogus,podrobiony
boil,gotować
boisterous,porywisty
bold,pogrubienie
bolshevik,bolszewicki
bolster,wzmocnić
bolt,śruba
bombard,bombardować
bomb,bomba
bombshell,bomba
bonanza,szczęście
bon,bon
bondage,niewola
bond,więź
bone,kość
bonfire,ognisko
bonnet,czapeczka
bonus,premia
boogie,boogie
boo,gwizd
booking,rezerwować
book,książka
boom,bum
boon,dar
boost,podnieść
boot,bagażnik
booth,budka
booty,łup
booze,gorzałka
border,granica
borderline,linia graniczna
boring,nudny
born,urodzony
borough,miasto
borrow,pożyczać
bosom,biust
boss,szef
botany,botanika
botch,partanina
bother,zawracać głowę
both,obie
bottle,butelka
bottom,dolny
bough,konar
boulder,otoczak
boulevard,bulwar
bounce,odbić się
boundary,granica
bounds,miedza
bounty,hojność
bouquet,bukiet
bourbon,burbon
bourgeois,burżuazyjny
bout,atak
boutique,butik
bovine,wołowy
bowel,jelito
bowl,miska
bow,łuk
boxed,box
box,pudełko
boy,chłopiec
boycott,bojkot
brace,klamra
bracelet,bransoletka
bracket,wspornik
brag,przechwalać
braid,warkocz
braille,brajl
brain,mózg
brainstorm,burza mózgów
brake,hamulec
bramble,cierń
branch,gałąź
brandish,wywijać
brand,marka
brandy,brandy
bran,otręby
brash,rumowisko
brassiere,biustonosz
brass,mosiądz
brat,bachor
bravado,zuchwałość
brave,odważny
bravo,brawo
brawl,bijatyka
brazen,nachalny
breach,wyłom
bread,chleb
breadth,szerokość
breakfast,śniadanie
break,przerwa
breast,pierś
breathe,oddychać
breath,oddech
breech,ubierać w spodenki
breed,rasa
breeze,bryza
brethren,bracia
brew,napar
bribe,przekupić
brick,cegła
bride,panna młoda
bridge,most
bridle,uzda
briefcase,aktówka
briefed,poinformowany
brief,krótki
brigade,brygada
brigadier,brygadier
bright,jasny
brilliance,blask
brilliant,znakomity
brim,rondo
brine,solanka
bring,przynieść
brink,skraj
brisk,energiczny
bristle,jeżyć
brittle,kruchy
broach,iglica
broadcast,nadawanie
broadside,burta
broad,szeroki
broccoli,brokuły
brochure,broszura
broker,pośrednik
bronco,dziki koń
bronze,brązowy
brooch,broszka
brood,plemię
brook,potok
broom,miotła
brothel,burdel
brother,brat
broth,rosół
brow,brew
brown,brązowy
brownie,duszek
browse,przeglądaj
bruise,siniak
brunt,siła
brush,szczotka
brusque,obcesowy
brute,bydlę
bubble,bańka
buck,bryknięcie
bucket,wiadro
buckle,klamra
buddy,kumpel
budge,drgnąć
budget,budżet
bud,pączek
buffalo,bawół
buffer,bufor
buffet,bufet
buffeted,buffeted
buff,polerować
buggy,powozik
bug,pluskwa
build,budować
bulb,żarówka
bulge,wybrzuszenie
bulimia,bulimia
bulkhead,przegroda
bulk,wielka ilość
bull,byk
bulldog,buldog
bulldoze,niwelować
bulletin,biuletyn
bullet,pocisk
bullshit,głupie gadanie
bully,tyran
bump,guz
bumpy,guzkowaty
bum,tyłek
bunch,wiązka
bundle,pakiet
bungalow,bungalow
bungle,klecić
bunker,bunkier
bunk,łóżko
bun,kok
bunny,królik
buoy,boja
burden,obciążenie
bureau,biuro
bureaucracy,biurokracja
bureaucrat,biurokrata
burgeon,pączkować
burgle,włamać się
burly,tęgi
burnish,wypolerować
burn,palić się
burr,bełkotać
burrow,nora
burst,rozerwanie
bury,pogrzebać
bus,autobus
bush,krzak
business,biznes
busted,busted
bustle,gwar
bust,popiersie
busy,zajęty
but,ale
butcher,rzeźnik
butler,lokaj
butterfly,motyl
butter,masło
butt,krupon
buttock,pośladek
button,przycisk
buttress,przypora
buy,kup
buzzard,myszołów
buzz,brzęczeć
bygone,miniony
bypass,objazd
by,przez
byte,bajt
cabaret,kabaret
cabbage,kapusta
cabinet,gabinet
cabin,kabina
cable,kabel
cab,taksówka
cache,Pamięć podręczna
cackle,rechot
cacophony,kakofonia
cactus,kaktus
cad,cham
caddie,nosiciel kijów golfowych
cadence,rytm
cadet,kadet
cadmium,kadm
cafe,kawiarnia
cafeteria,stołówka
caffeine,kofeina
cage,klatka szybowa
cajole,przypochlebiać się
cake,ciasto
calamity,nieszczęście
calcium,wapń
calculate,oblicz
calculus,rachunek różniczkowy
calendar,kalendarz
calf,cielę
calibrate,kalibrować
callous,stwardniały
call,połączenie
calm,spokojna
calorie,kaloria
camaraderie,koleżeństwo
camcorder,kamera
camel,wielbłąd
cameo,kamea
camera,aparat fotograficzny
cam,krzywka
camouflage,kamuflaż
campaign,kampania
camp,obóz
campus,kampus
canal,kanał
canary,kanarek
cancel,anuluj
cancer,rak
candidate,kandydat
candid,szczery
candle,świeca
candy,cukierek
cane,trzcinowy
canine,psi
canister,kanister
can,mogą
cannabis,konopie indyjskie
cannibal,kanibal
cannon,armata
canny,sprytny
canoe,kajak
canonical,kanoniczny
canon,kanon
canopy,baldachim
cans,puszki
canteen,stołówka
cant,żargon
canvas,brezentowy
canvass,werbować
canyon,kanion
capable,zdolny
capacitor,kondensator
capacity,pojemność
cap,czapka
cape,peleryna
caper,kapar
capillary,kapilarny
capitalise,skapitalizować
capitalism,kapitalizm
capitalist,kapitalista
capital,kapitał
capitulate,skapitulować
capricious,kapryśny
capsule,kapsuła
captain,kapitan
caption,podpis
captivate,Urzec
captive,jeniec
captor,porywacz
capture,zdobyć
caramel,karmel
caravan,karawana
carbohydrate,węglowodan
carbonate,węglan
carbon,węgiel
carcass,tusza
carcinogen,czynnik rakotwórczy
carcinoma,rak
cardboard,karton
cardiac,sercowy
cardigan,sweter rozpinany
cardinal,kardynał
cardiovascular,układu sercowo-naczyniowego
card,karta
career,kariera
care,opieka
caress,pieścić
cargo,ładunek
caricature,karykatura
carnage,rzeź
carnation,goździk
carnival,karnawał
carnivore,mięsożerne
carol,kolęda
carpenter,cieśla
carpet,wykładzina podłogowa
carp,karp
carriage,wagon
carrot,marchewka
carry,nieść
car,samochód
cartel,kartel
cartilage,chrząstka
cartography,kartografia
carton,karton
cartoon,kreskówka
cartridge,nabój
cart,wózek
carve,rzeźbić
casa,casa
cascade,kaskada
case,walizka
cash,gotówka
cashier,kasjer
cashmere,kaszmir
casing,obudowa
casino,kasyno
cask,beczka
casket,kasetka
casserole,zapiekanka
cassette,kaseta
caste,kasta
caster,odlewnik
castle,zamek
cast,odlew
castrate,wykastrować
casual,codzienny
casualty,wypadek
cataclysm,kataklizm
catalogue,katalog
catalyse,katalizować
catalyst,katalizator
catapult,katapultować
cataract,zaćma
catastrophe,katastrofa
catchment,zlewnia
catch,złapać
catechism,katechizm
categorical,kategoryczny
category,kategoria
caterpillar,gąsienica
cater,zaopatrywać
catfish,kocia ryba
cathedral,katedra
catheter,cewnik
catholic,katolicki
cat,kot
cattle,bydło
catwalk,wybieg dla modelek
caucus,klika
cauldron,kociołek
cauliflower,kalafior
causal,przyczynowy
cause,przyczyna
caustic,żrący
caution,uwaga
cautious,ostrożny
cavalier,kawaler
cavalry,kawaleria
caveat,zastrzeżenie
cave,jaskinia
cavern,grota
caviar,kawior
cavity,wgłębienie
cease,zaprzestać
cedar,cedr
cede,scedować
ceiling,sufit
celebrate,świętować
celebrity,sława
celery,seler
celestial,niebiański
celibacy,celibat
cellar,piwnica
cell,komórka
cello,wiolonczela
cellular,komórkowy
cellulose,celuloza
cement,cement
cemetery,cmentarz
censor,cenzor
censure,cenzura
census,spis ludności
cent,cent
centenary,stulecie
centimetre,centymetr
centre,centrum
centrifuge,odwirować
century,stulecie
ceramic,ceramiczny
cereal,płatki śniadaniowe
cerebral,mózgowy
ceremony,ceremonia
certain,pewny
certificate,certyfikat
certify,poświadczać
cervix,szyjka macicy
cessation,zaprzestanie
chafe,otarcie
chagrin,zmartwienie
chain,łańcuch
chaired,pod przewodnictwem
chair,krzesło
chairman,przewodniczący
chalet,szalet
chalk,kreda
challenge,wyzwanie
chamber,izba
chameleon,kameleon
champagne,szampan
champion,mistrz
chancellor,kanclerz
chance,szansa
chandelier,żyrandol
change,zmiana
channel,kanał
chant,intonować
chaos,chaos
chaotic,chaotyczny
chapel,kaplica
chap,facet
chaplain,kapelan
chapter,rozdział
characteristic,charakterystyka
character,postać
charade,szarada
charcoal,węgiel drzewny
chardonnay,chardonnay
charge,opłata
chariot,rydwan
charisma,charyzma
charitable,charytatywny
charity,dobroczynność
charm,urok
charter,czarter
chart,wykres
char,zwęglać
chase,pościg
chasm,przepaść
chassis,podwozie
chaste,czysty
chastise,karać
chat,czat
chateau,pałac
chatter,gadać
chauffeur,szofer
cheap,tani
cheat,oszukać
check,czek
cheek,policzek
cheeky,bezczelny
cheer,dopingować
cheese,ser
cheetah,gepard
chef,szef kuchni
chemical,chemiczny
chemist,chemik
chemistry,chemia
chemotherapy,chemoterapia
cherish,kochać
cherry,wiśnia
chess,szachy
chestnut,kasztan
chest,skrzynia
chew,żuć
chicken,kurczak
chic,szyk
chide,zbesztać
chief,szef
chieftain,wódz
child,dziecko
chill,chłód
chilli,chilli
chime,kurant
chimney,komin
chimpanzee,szympans
chin,broda
chip,żeton
chirp,ćwierkanie
chisel,dłuto
chivalry,rycerskość
chives,szczypiorek
chloride,chlorek
chlorine,chlor
chocolate,czekolada
choice,wybór
choir,chór
choke,dławić się
cholera,cholera
cholesterol,cholesterol
choose,wybierać
chop,posiekać
choral,chóralny
chord,akord
choreograph,choreograf
chore,robota
chorus,chór
christen,ochrzcić
christmas,Boże Narodzenie
chrome,chrom
chromium,chrom
chromosome,chromosom
chronic,chroniczny
chronicle,kronika
chronology,chronologia
chubby,pucołowaty
chuck,gdakanie
chuckle,chichot
chug,dyszeć
chum,kolega
chunk,kawałek
church,kościół
churn,maselnica
chute,zjeżdżalnia
cider,cydr
cigar,cygaro
cigarette,papieros
cinder,żużel
cinema,kino
cinnamon,cynamon
circa,około
circle,okrąg
circuit,obwód
